DISPLAY NAME	CLASS NAME	CARGO BUCKET	SPAWN COMMAND
Balaclava Ratnik (A-Tacs FG/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_A_Tacs_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (A-Tacs FG/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_A_Tacs_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (A-Tacs FG/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_A_Tacs_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Desert_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Desert_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Desert_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Desert_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Autumn/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_EMR_Autumn_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Autumn/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_EMR_Autumn_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Summer/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_EMR_Summer_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Summer/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_EMR_Summer_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Green_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Green_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Green_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Green_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (Olive/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Olive_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Olive/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Olive_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Sage/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Sage_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Sage/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Sage_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Winter_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Winter_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Winter_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Winter_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter green/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Winter_Green_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter green/GSSh-01-01)	CUP_H_RUS_Ratnik_Balaclava_6M21_Winter_Green_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (A-Tacs FG/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_A_Tacs_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (A-Tacs FG/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_A_Tacs_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (A-Tacs FG/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_A_Tacs_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (A-Tacs FG/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_A_Tacs_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Desert_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Desert_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Desert_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (Desert/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Desert_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Autumn/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_EMR_Autumn_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Autumn/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_EMR_Autumn_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Summer/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_EMR_Summer_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (EMR Summer/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_EMR_Summer_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Green_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Green_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Green_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (Green/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Green_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (Olive/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Olive_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Olive/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Olive_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Sage/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Sage_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Sage/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Sage_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Winter_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Winter_2	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Winter_3	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Winter_4	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter green/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Winter_Green_1	ITEM	addItemCargoGlobal
Balaclava Ratnik (Winter green/GSSh-01)	CUP_H_RUS_Ratnik_Balaclava_6M2_Winter_Green_2	ITEM	addItemCargoGlobal
SSh-68 (Berezka)	CUP_H_RUS_SSH68_cover_berezka	ITEM	addItemCargoGlobal
SSh-68 (VSR-84 Dubok)	CUP_H_RUS_SSH68_cover_vsr84_dubok	ITEM	addItemCargoGlobal
SSh-68 (VSR-93)	CUP_H_RUS_SSH68_cover_vsr93	ITEM	addItemCargoGlobal
SSh-68 (VSR-98)	CUP_H_RUS_SSH68_cover_vsr98	ITEM	addItemCargoGlobal
SSh-68 (Green)	CUP_H_RUS_SSH68_green	ITEM	addItemCargoGlobal
SSh-68 (Olive)	CUP_H_RUS_SSH68_olive	ITEM	addItemCargoGlobal
TSh-4 (Desert)	CUP_H_RUS_TSH_4_Brown	ITEM	addItemCargoGlobal
ZSh-1 Combat Helmet (Green)	CUP_H_RUS_ZSH_1	ITEM	addItemCargoGlobal
ZSh-1 Combat Helmet (Green/Goggles)	CUP_H_RUS_ZSH_1_Goggles	ITEM	addItemCargoGlobal
ZSh-7 Pilot Helmet (Shield Down)	CUP_H_RUS_ZSH_Shield_Down	ITEM	addItemCargoGlobal
ZSh-7 Pilot Helmet	CUP_H_RUS_ZSH_Shield_Up	ITEM	addItemCargoGlobal
Beanie (Green)	CUP_H_SLA_BeanieGreen	ITEM	addItemCargoGlobal
Beret (SLA Especas)	CUP_H_SLA_Beret	ITEM	addItemCargoGlobal
Beret(Red)	CUP_H_SLA_BeretRed	ITEM	addItemCargoGlobal
BoonieHat (SLA Woodland)	CUP_H_SLA_Boonie	ITEM	addItemCargoGlobal
BoonieHat (SLA Desert)	CUP_H_SLA_Boonie_DES	ITEM	addItemCargoGlobal
BoonieHat (SLA Urban)	CUP_H_SLA_Boonie_URB	ITEM	addItemCargoGlobal
SSh-60 (Olive)	CUP_H_SLA_Helmet	ITEM	addItemCargoGlobal
SSh-60 (Black)	CUP_H_SLA_Helmet_BLK	ITEM	addItemCargoGlobal
SSh-60 (Black/Worn)	CUP_H_SLA_Helmet_BLK_worn	ITEM	addItemCargoGlobal
SSh-60 (Desert)	CUP_H_SLA_Helmet_DES	ITEM	addItemCargoGlobal
SSh-60 (Desert/Worn)	CUP_H_SLA_Helmet_DES_worn	ITEM	addItemCargoGlobal
SSh-60 (Olive/Worn)	CUP_H_SLA_Helmet_OD_worn	ITEM	addItemCargoGlobal
SSh-60 (Grey)	CUP_H_SLA_Helmet_URB	ITEM	addItemCargoGlobal
SSh-60 (Grey/Worn)	CUP_H_SLA_Helmet_URB_worn	ITEM	addItemCargoGlobal
Officer Cap (SLA)	CUP_H_SLA_OfficerCap	ITEM	addItemCargoGlobal
Officer Cap (SLA - Squad Leader)	CUP_H_SLA_SLCap	ITEM	addItemCargoGlobal
TSh-4 (Black)	CUP_H_SLA_TankerHelmet	ITEM	addItemCargoGlobal
SPH-4 (OD)	CUP_H_SPH4	ITEM	addItemCargoGlobal
SPH-4 (Green)	CUP_H_SPH4_green	ITEM	addItemCargoGlobal
SPH-4 (Green/Visor)	CUP_H_SPH4_green_visor	ITEM	addItemCargoGlobal
SPH-4 (Grey)	CUP_H_SPH4_grey	ITEM	addItemCargoGlobal
SPH-4 (Grey/Visor)	CUP_H_SPH4_grey_visor	ITEM	addItemCargoGlobal
SPH-4 (Khaki)	CUP_H_SPH4_khaki	ITEM	addItemCargoGlobal
SPH-4 (Khaki/Visor)	CUP_H_SPH4_khaki_visor	ITEM	addItemCargoGlobal
SPH-4 (OD/Visor)	CUP_H_SPH4_visor	ITEM	addItemCargoGlobal
Beret (Takistani Officer)	CUP_H_TK_Beret	ITEM	addItemCargoGlobal
SSh-60 (Cover/Net)	CUP_H_TK_Helmet	ITEM	addItemCargoGlobal
Takistani Lungee (Black - SF)	CUP_H_TK_Lungee	ITEM	addItemCargoGlobal
TSh-4 (Tan)	CUP_H_TK_TankerHelmet	ITEM	addItemCargoGlobal
Takistani Lungee (Pattern 1)	CUP_H_TKI_Lungee_01	ITEM	addItemCargoGlobal
Takistani Lungee (Pattern 2)	CUP_H_TKI_Lungee_02	ITEM	addItemCargoGlobal
Takistani Lungee (Pattern 3)	CUP_H_TKI_Lungee_03	ITEM	addItemCargoGlobal
Takistani Lungee (Pattern 4)	CUP_H_TKI_Lungee_04	ITEM	addItemCargoGlobal
Takistani Lungee (Pattern 5)	CUP_H_TKI_Lungee_05	ITEM	addItemCargoGlobal
Takistani Lungee (Pattern 6)	CUP_H_TKI_Lungee_06	ITEM	addItemCargoGlobal
Takistani Lungee (open, Pattern 1)	CUP_H_TKI_Lungee_Open_01	ITEM	addItemCargoGlobal
Takistani Lungee (open, Pattern 2)	CUP_H_TKI_Lungee_Open_02	ITEM	addItemCargoGlobal
Takistani Lungee (open, Pattern 3)	CUP_H_TKI_Lungee_Open_03	ITEM	addItemCargoGlobal
Takistani Lungee (open, Pattern 4)	CUP_H_TKI_Lungee_Open_04	ITEM	addItemCargoGlobal
Takistani Lungee (open, Pattern 5)	CUP_H_TKI_Lungee_Open_05	ITEM	addItemCargoGlobal
Takistani Lungee (open, Pattern 6)	CUP_H_TKI_Lungee_Open_06	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 1)	CUP_H_TKI_Pakol_1_01	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 2)	CUP_H_TKI_Pakol_1_02	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 3)	CUP_H_TKI_Pakol_1_03	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 4)	CUP_H_TKI_Pakol_1_04	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 5)	CUP_H_TKI_Pakol_1_05	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 6)	CUP_H_TKI_Pakol_1_06	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 7)	CUP_H_TKI_Pakol_2_01	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 8)	CUP_H_TKI_Pakol_2_02	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 9)	CUP_H_TKI_Pakol_2_03	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 10)	CUP_H_TKI_Pakol_2_04	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 11)	CUP_H_TKI_Pakol_2_05	ITEM	addItemCargoGlobal
Takistani Pakol (Pattern 12)	CUP_H_TKI_Pakol_2_06	ITEM	addItemCargoGlobal
Takistani Skull cap (Pattern 1)	CUP_H_TKI_SkullCap_01	ITEM	addItemCargoGlobal
Takistani Skull cap (Pattern 2)	CUP_H_TKI_SkullCap_02	ITEM	addItemCargoGlobal
Takistani Skull cap (Pattern 3)	CUP_H_TKI_SkullCap_03	ITEM	addItemCargoGlobal
Takistani Skull cap (Pattern 4)	CUP_H_TKI_SkullCap_04	ITEM	addItemCargoGlobal
Takistani Skull cap (Pattern 5)	CUP_H_TKI_SkullCap_05	ITEM	addItemCargoGlobal
Takistani Skull cap (Pattern 6)	CUP_H_TKI_SkullCap_06	ITEM	addItemCargoGlobal
Boonie (Alpenflage)	CUP_H_US_BOONIE_Alpenflage	ITEM	addItemCargoGlobal
Patrol Cap (Alpenflage)	CUP_H_US_patrol_cap_alpenflage	ITEM	addItemCargoGlobal
Patrol Cap (DCU)	CUP_H_US_patrol_cap_DCU	ITEM	addItemCargoGlobal
Patrol Cap (Desert)	CUP_H_US_patrol_cap_desert	ITEM	addItemCargoGlobal
Patrol Cap (ERDL Lowland)	CUP_H_US_patrol_cap_ERDL	ITEM	addItemCargoGlobal
Patrol Cap (ERDL Highland)	CUP_H_US_patrol_cap_ERDL_highland	ITEM	addItemCargoGlobal
Patrol Cap (OCP)	CUP_H_US_patrol_cap_OCP	ITEM	addItemCargoGlobal
Patrol Cap (Olive)	CUP_H_US_patrol_cap_OD	ITEM	addItemCargoGlobal
Patrol Cap (OEF-CP)	CUP_H_US_patrol_cap_OEFCP	ITEM	addItemCargoGlobal
Patrol Cap (Rhodesian)	CUP_H_US_patrol_cap_Rhodesian	ITEM	addItemCargoGlobal
Patrol Cap (Tiger Stripe)	CUP_H_US_patrol_cap_tigerstripe	ITEM	addItemCargoGlobal
Patrol Cap (T-pattern)	CUP_H_US_patrol_cap_Tpattern	ITEM	addItemCargoGlobal
Patrol Cap (UCP)	CUP_H_US_patrol_cap_UCP	ITEM	addItemCargoGlobal
Patrol Cap (Urban)	CUP_H_US_patrol_cap_urban	ITEM	addItemCargoGlobal
Patrol Cap (M81 Woodland)	CUP_H_US_patrol_cap_WDL	ITEM	addItemCargoGlobal
Patrol Cap (Winter)	CUP_H_US_patrol_cap_winter	ITEM	addItemCargoGlobal
Boonie (M81)	CUP_H_USA_Boonie_wdl	ITEM	addItemCargoGlobal
Cap w/DEF (Auburn)	CUP_H_USA_Cap_AU_DEF	ITEM	addItemCargoGlobal
Cap (M81)	CUP_H_USA_Cap_M81	ITEM	addItemCargoGlobal
Cap w/DEF (MARSOC Patch)	CUP_H_USA_Cap_MARSOC_DEF	ITEM	addItemCargoGlobal
Cap (Multicam)	CUP_H_USA_Cap_MCAM	ITEM	addItemCargoGlobal
Cap w/DEF (US Multicam)	CUP_H_USA_Cap_Mcam_DEF	ITEM	addItemCargoGlobal
Cap w/DEF (New York)	CUP_H_USA_Cap_NY_DEF	ITEM	addItemCargoGlobal
Cap w/DEF (Punisher)	CUP_H_USA_Cap_PUNISHER_DEF	ITEM	addItemCargoGlobal
Cap w/DEF (Don't Tread on Me)	CUP_H_USA_Cap_TREAD_DEF	ITEM	addItemCargoGlobal
Cap w/DEF (Texas)	CUP_H_USA_Cap_UT_DEF	ITEM	addItemCargoGlobal
Booniehat (Headset/OCP)	CUP_H_USArmy_Boonie_hs_OCP	ITEM	addItemCargoGlobal
Booniehat (Headset/OEF-CP)	CUP_H_USArmy_Boonie_hs_OEFCP	ITEM	addItemCargoGlobal
Booniehat (Headset/UCP)	CUP_H_USArmy_Boonie_hs_UCP	ITEM	addItemCargoGlobal
Booniehat (OCP)	CUP_H_USArmy_Boonie_OCP	ITEM	addItemCargoGlobal
Booniehat (OEF-CP)	CUP_H_USArmy_Boonie_OEFCP	ITEM	addItemCargoGlobal
Booniehat (UCP)	CUP_H_USArmy_Boonie_UCP	ITEM	addItemCargoGlobal
ECH (MARPAT/Goggles/Headset)	CUP_H_USArmy_ECH_ESS_Headset_MARPAT	ITEM	addItemCargoGlobal
ECH (MARPAT Desert/Goggles/Headset)	CUP_H_USArmy_ECH_ESS_Headset_MARPAT_des	ITEM	addItemCargoGlobal
ECH (MARPAT/Goggles)	CUP_H_USArmy_ECH_ESS_MARPAT	ITEM	addItemCargoGlobal
ECH (MARPAT Desert/Goggles)	CUP_H_USArmy_ECH_ESS_MARPAT_des	ITEM	addItemCargoGlobal
ECH (MARPAT/Covered Goggles/Headset)	CUP_H_USArmy_ECH_GCOVERED_Headset_MARPAT	ITEM	addItemCargoGlobal
ECH (MARPAT Desert/Covered Goggles/Headset)	CUP_H_USArmy_ECH_GCOVERED_Headset_MARPAT_des	ITEM	addItemCargoGlobal
ECH (MARPAT/Covered Goggles)	CUP_H_USArmy_ECH_GCOVERED_MARPAT	ITEM	addItemCargoGlobal
ECH (MARPAT Desert/Covered Goggles)	CUP_H_USArmy_ECH_GCOVEREDMARPAT_des	ITEM	addItemCargoGlobal
ECH (MARPAT/Headset)	CUP_H_USArmy_ECH_Headset_MARPAT	ITEM	addItemCargoGlobal
ECH (MARPAT Desert/Headset)	CUP_H_USArmy_ECH_Headset_MARPAT_des	ITEM	addItemCargoGlobal
ECH (MARPAT)	CUP_H_USArmy_ECH_MARPAT	ITEM	addItemCargoGlobal
ECH (MARPAT Desert)	CUP_H_USArmy_ECH_MARPAT_des	ITEM	addItemCargoGlobal
ECH (Black)	CUP_H_USArmy_Helmet_ECH1_Black	ITEM	addItemCargoGlobal
ECH (Green)	CUP_H_USArmy_Helmet_ECH1_Green	ITEM	addItemCargoGlobal
ECH (Sand)	CUP_H_USArmy_Helmet_ECH1_Sand	ITEM	addItemCargoGlobal
ECH (Black - ESS)	CUP_H_USArmy_Helmet_ECH2_Black	ITEM	addItemCargoGlobal
ECH (Green - ESS)	CUP_H_USArmy_Helmet_ECH2_GREEN	ITEM	addItemCargoGlobal
ECH (Sand - ESS)	CUP_H_USArmy_Helmet_ECH2_Sand	ITEM	addItemCargoGlobal
M1 (Cigs/CUP)	CUP_H_USArmy_Helmet_M1_btp	ITEM	addItemCargoGlobal
M1 (Cigs/Woodland)	CUP_H_USArmy_Helmet_M1_m81	ITEM	addItemCargoGlobal
M1 (Cigs/Olive)	CUP_H_USArmy_Helmet_M1_Olive	ITEM	addItemCargoGlobal
M1 (Woodland M81)	CUP_H_USArmy_Helmet_M1_plain_M81	ITEM	addItemCargoGlobal
M1 (Olive)	CUP_H_USArmy_Helmet_M1_plain_Olive	ITEM	addItemCargoGlobal
M1 (Vineleaf)	CUP_H_USArmy_Helmet_M1_plain_Vine	ITEM	addItemCargoGlobal
M1 (Cigs/Leaf)	CUP_H_USArmy_Helmet_M1_Vine	ITEM	addItemCargoGlobal
Pro-Tec	CUP_H_USArmy_Helmet_Protec	ITEM	addItemCargoGlobal
Pro-Tec (Goggles)	CUP_H_USArmy_Helmet_Protec_Gog	ITEM	addItemCargoGlobal
Pro-Tec (Goggles/Strobe)	CUP_H_USArmy_Helmet_Protec_Gog_Strb	ITEM	addItemCargoGlobal
Pro-Tec (NVG)	CUP_H_USArmy_Helmet_Protec_NVG	ITEM	addItemCargoGlobal
ACH (OCP/Goggles/Headset)	CUP_H_USArmy_HelmetACH_ESS_Headset_OCP	ITEM	addItemCargoGlobal
ACH (OEF-CP/Goggles/Headset)	CUP_H_USArmy_HelmetACH_ESS_Headset_OEFCP	ITEM	addItemCargoGlobal
ACH (UCP/Goggles/Headset)	CUP_H_USArmy_HelmetACH_ESS_Headset_UCP	ITEM	addItemCargoGlobal
ACH (OCP/Goggles)	CUP_H_USArmy_HelmetACH_ESS_OCP	ITEM	addItemCargoGlobal
ACH (OEF-CP/Goggles)	CUP_H_USArmy_HelmetACH_ESS_OEFCP	ITEM	addItemCargoGlobal
ACH (UCP/Goggles)	CUP_H_USArmy_HelmetACH_ESS_UCP	ITEM	addItemCargoGlobal
ACH (OCP/Covered Goggles/Headset)	CUP_H_USArmy_HelmetACH_GCOVERED_Headset_OCP	ITEM	addItemCargoGlobal
ACH (OEF-CP/Covered Goggles/Headset)	CUP_H_USArmy_HelmetACH_GCOVERED_Headset_OEFCP	ITEM	addItemCargoGlobal
ACH (UCP/Covered Goggles/Headset)	CUP_H_USArmy_HelmetACH_GCOVERED_Headset_UCP	ITEM	addItemCargoGlobal
ACH (OCP/Covered Goggles)	CUP_H_USArmy_HelmetACH_GCOVERED_OCP	ITEM	addItemCargoGlobal
ACH (OEF-CP/Covered Goggles)	CUP_H_USArmy_HelmetACH_GCOVERED_OEFCP	ITEM	addItemCargoGlobal
ACH (UCP/Covered Goggles)	CUP_H_USArmy_HelmetACH_GCOVERED_UCP	ITEM	addItemCargoGlobal
ACH (OCP/Headset)	CUP_H_USArmy_HelmetACH_Headset_OCP	ITEM	addItemCargoGlobal
ACH (OEF-CP/Headset)	CUP_H_USArmy_HelmetACH_Headset_OEFCP	ITEM	addItemCargoGlobal
ACH (UCP/Headset)	CUP_H_USArmy_HelmetACH_Headset_UCP	ITEM	addItemCargoGlobal
ACH (OCP)	CUP_H_USArmy_HelmetACH_OCP	ITEM	addItemCargoGlobal
ACH (OEF-CP)	CUP_H_USArmy_HelmetACH_OEFCP	ITEM	addItemCargoGlobal
ACH (UCP)	CUP_H_USArmy_HelmetACH_UCP	ITEM	addItemCargoGlobal
MICH 2000 (M81/Goggles/Headset)	CUP_H_USArmy_MICH_ESS_Headset_M81	ITEM	addItemCargoGlobal
MICH 2000 (UCP/Goggles/Headset)	CUP_H_USArmy_MICH_ESS_Headset_UCP	ITEM	addItemCargoGlobal
MICH 2000 (M81/Goggles)	CUP_H_USArmy_MICH_ESS_M81	ITEM	addItemCargoGlobal
MICH 2000 (UCP/Goggles)	CUP_H_USArmy_MICH_ESS_UCP	ITEM	addItemCargoGlobal
MICH 2000 (M81/Covered Goggles/Headset)	CUP_H_USArmy_MICH_GCOVERED_Headset_M81	ITEM	addItemCargoGlobal
MICH 2000 (UCP/Covered Goggles/Headset)	CUP_H_USArmy_MICH_GCOVERED_Headset_UCP	ITEM	addItemCargoGlobal
MICH 2000 (M81/Covered Goggles)	CUP_H_USArmy_MICH_GCOVERED_M81	ITEM	addItemCargoGlobal
MICH 2000 (UCP/Covered Goggles)	CUP_H_USArmy_MICH_GCOVERED_UCP	ITEM	addItemCargoGlobal
MICH 2000 (M81/Headset)	CUP_H_USArmy_MICH_Headset_M81	ITEM	addItemCargoGlobal
MICH 2000 (UCP/Headset)	CUP_H_USArmy_MICH_Headset_UCP	ITEM	addItemCargoGlobal
MICH 2000 (M81)	CUP_H_USArmy_MICH_M81	ITEM	addItemCargoGlobal
MICH 2000 (UCP)	CUP_H_USArmy_MICH_UCP	ITEM	addItemCargoGlobal
Boonie (MARPAT Desert)	CUP_H_USMC_BOONIE_2_DES	ITEM	addItemCargoGlobal
Boonie w/PRR (MARPAT Desert)	CUP_H_USMC_BOONIE_PRR_DES	ITEM	addItemCargoGlobal
Boonie w/PRR (MARPAT Woodland)	CUP_H_USMC_BOONIE_PRR_WDL	ITEM	addItemCargoGlobal
Boonie (MARPAT Woodland)	CUP_H_USMC_BOONIE_WDL	ITEM	addItemCargoGlobal
Officer Cap (MARPAT Desert)	CUP_H_USMC_CAP_DES	ITEM	addItemCargoGlobal
Officer Cap w/PRR (MARPAT Desert)	CUP_H_USMC_CAP_PRR_DES	ITEM	addItemCargoGlobal
Officer Cap w/PRR (MARPAT Woodland)	CUP_H_USMC_CAP_PRR_WDL	ITEM	addItemCargoGlobal
Officer Cap (MARPAT Woodland)	CUP_H_USMC_CAP_WDL	ITEM	addItemCargoGlobal
Cap (Officer MARPAT)	CUP_H_USMC_Officer_Cap	ITEM	addItemCargoGlobal
Wz.67	CUP_H_WZ67	ITEM	addItemCargoGlobal
Wz.67 (Eagle)	CUP_H_WZ67_EAGLE	ITEM	addItemCargoGlobal
L109A1 Frag	CUP_HandGrenade_L109A1_HE	MAGAZINE	addMagazineCargoGlobal
L109A2 Frag	CUP_HandGrenade_L109A2_HE	MAGAZINE	addMagazineCargoGlobal
M67 Frag Grenade	CUP_HandGrenade_M67	MAGAZINE	addMagazineCargoGlobal
RGD-5 Frag Grenade	CUP_HandGrenade_RGD5	MAGAZINE	addMagazineCargoGlobal
RGO Frag Grenade	CUP_HandGrenade_RGO	MAGAZINE	addMagazineCargoGlobal
Ballistic Shield (M9)	CUP_hgun_BallisticShield_Armed_M9	WEAPON	addWeaponCargoGlobal
Ballistic Shield (PMM)	CUP_hgun_BallisticShield_PMM	WEAPON	addWeaponCargoGlobal
Browning HP	CUP_hgun_Browning_HP	WEAPON	addWeaponCargoGlobal
M1911	CUP_hgun_Colt1911	WEAPON	addWeaponCargoGlobal
CZ 75 COMPACT	CUP_hgun_Compact	WEAPON	addWeaponCargoGlobal
CZ 75	CUP_hgun_CZ75	WEAPON	addWeaponCargoGlobal
Desert Eagle	CUP_hgun_Deagle	WEAPON	addWeaponCargoGlobal
CZ 75 DUTY	CUP_hgun_Duty	WEAPON	addWeaponCargoGlobal
Flare Pistol	CUP_hgun_FlareGun	WEAPON	addWeaponCargoGlobal
G17	CUP_hgun_Glock17	WEAPON	addWeaponCargoGlobal
G17 (Black)	CUP_hgun_Glock17_blk	WEAPON	addWeaponCargoGlobal
G17 (Tan)	CUP_hgun_Glock17_tan	WEAPON	addWeaponCargoGlobal
M17 (Black)	CUP_hgun_M17_Black	WEAPON	addWeaponCargoGlobal
M17 (Coyote)	CUP_hgun_M17_Coyote	WEAPON	addWeaponCargoGlobal
M17 (Green)	CUP_hgun_M17_Green	WEAPON	addWeaponCargoGlobal
M9	CUP_hgun_M9	WEAPON	addWeaponCargoGlobal
M9A1	CUP_hgun_M9A1	WEAPON	addWeaponCargoGlobal
MAC-10 (folded Stock)	CUP_hgun_Mac10	WEAPON	addWeaponCargoGlobal
Makarov PM	CUP_hgun_Makarov	WEAPON	addWeaponCargoGlobal
